"Date/Time","Year","Month","Mean Max Temp (Â°C)","Mean Max Temp Flag","Mean Min Temp (Â°C)","Mean Min Temp Flag","Mean Temp (Â°C)","Mean Temp Flag","Extr Max Temp (Â°C)","Extr Max Temp Flag","Extr Min Temp (Â°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1889-01","1889","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1889-02","1889","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1889-03","1889","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1889-04","1889","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1889-05","1889","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1889-06","1889","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1889-07","1889","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1889-08","1889","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1889-09","1889","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1889-10","1889","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1889-11","1889","11","4.6","","-2.2","","1.2","","14.4","","-11.7","S","49.5","","20.3","","69.9","","","",,"",,""
"1889-12","1889","12","-1.7","","-9.6","","-5.7","","5.6","S","-23.3","","49.5","","18.8","","68.3","","","",,"",,""
"1890-01","1890","01","-4.2","","-15.5","","-9.9","","8.9","","-28.9","","44.5","","54.6","","99.1","","","",,"",,""
"1890-02","1890","02","-3.7","","-13.9","","-8.8","","7.2","","-24.4","S","48.3","","49.8","","98.0","","","",,"",,""
"1890-03","1890","03","-0.3","","-9.3","","-4.8","","6.1","","-23.3","","18.8","","21.1","","39.9","","","",,"",,""
"1890-04","1890","04","9.9","","-1.2","","4.4","","20.0","","-10.6","","46.0","","0.0","T","46.0","","","",,"",,""
